# Dinsmoor. William Bell. 1931. The Archons of Athens in the Hellenistic Age.
# Cambridge: Harvard University Press.
# http://archive.org/details/archonsofathensi0000dins.
432 July  15 + He
    May   14 + Th
    June  13 - Sk
    July  12 + He
    Aug.  11 - Me
    Sept.  9 + Bo
    Oct.   9 - Py
    Nov.   7 + Ma
    Dec.   7 - Po
341 Jan.   5 + Ga
    Feb.   4 - An
    March  4 + El
    April  3 - Mo
    May    2 + Th
    June   1 - Sk
    June  30 + He
    July  30 + Me
    Aug.  29 - Bo
    Sept. 27 + Py
    Oct.  27 - Ma
    Nov.  25 + Po
    Dec.  25 - Po
340 Jan.  23 + Ga
    Feb.  22 - An
    March 23 + El
    April 22 - Mo
    May   21 + Th
    June  20 - Sk
    July  19 + He
    Aug.  18 - Me
    Sept. 16 - Bo
    Oct.  16 + Py
    Nov.  15 - Ma
    Dec.  14 + Po
339 Jan.  13 - Ga
    Feb.  11 + An
    March 13 - El
    April 11 + Mo
    May   11 - Th
    June   9 + Sk
    July   9 - He
    Aug.   7 + Me
    Sept.  6 - Bo
    Oct.   5 + Py
    Nov.   4 - Ma
    Dec.   3 + Po
338 Jan.   2 + Po
    Feb.   1 - Ga
    March  2 + An
    April  1 - El
    April 30 + Mo
    May   30 - Th
    June  28 + Sk
    July  28 - He
    Aug.  26 + Me
    Sept. 25 - Bo
    Oct.  24 + Py
    Nov.  23 - Ma
    Dec.  22 + Po
337 Jan.  21 - Ga
    Feb.  19 + An
    March 20 - El
    April 18 + Mo
    May   18 - Th
    June  16 + Sk
    July  16 + He
    Aug.  15 - Me
    Sept. 13 + Bo
    Oct.  13 - Py
    Nov.  11 + Ma
    Dec.  11 - Po
336 Jan.   9 + Ga
    Feb.   8 - An
    March  9 + El
    April  8 + Mo
    May    8 - Th
    June   6 + Sk
    July   6 - He
    Aug.   4 + Me
    Sept.  3 - Bo
    Oct.   2 + Py
    Nov.   1 - Ma
    Nov.  30 + Po
    Dec.  30 - Po
335 Jan.  28 + Ga
    Feb.  27 - An
    April 27 - Mo
    May   26 + Th
    June  25 + Sk
    July  25 - He
    Aug.  23 + Me
    Sept. 22 - Bo
    Oct.  21 + Py
    Nov.  20 - Ma
    Dec.  19 + Po
334 Jan.  18 - Ga
    Feb.  16 + An
    March 18 - El
    April 16 + Mo
    May	  16 - Th
    June  14 + Sk
    July  14 - He
    Aug.  12 + Me
    Sept. 11 - Bo
    Oct.  10 + Py
    Nov.   9 + Ma
    Dec.   9 - Po
333 Jan.   7 + Ga
    Feb.   6 - An
    March  6 + El
